,Currency,XR
0,EUR,0.93181
1,BMD,1.0
2,CHF,0.915297
4,NOK,10.54877
6,USD,1.0
7,DKK,6.93799
8,SGD,1.343335
9,ISK,140.059905
10,QAR,3.640964
11,SEK,10.40555
12,AUD,1.498161
14,HKD,7.849775
15,EUR,0.93182
19,ILS,3.621255
20,CAD,1.369375
21,MOP,8.070401
22,NZD,1.608815
23,GBP,0.82237
25,JPY,134.669499
26,AED,3.67272
28,KRW,1306.545014
29,BND,1.343093
32,BHD,0.376984
33,SAR,3.755279
35,HUF,364.186967
36,HRK,7.018274
37,PLN,4.38566
38,RON,4.585005
39,CRC,544.794189
40,CNY,6.896697
41,RUB,75.709835
42,MYR,4.482018
43,ARS,202.095017
44,TRY,18.982298
45,MXN,18.61773
46,BRL,5.254198
47,THB,34.55296
48,ZAR,18.203169
49,COP,4744.6
51,IDR,15392.15
52,UAH,36.697026
53,LKR,339.513876
54,MAD,10.411599
55,VND,23575.0
56,PHP,54.961505
57,IRR,42250.000216
58,EGP,30.948602
59,BDT,105.423426
60,INR,82.530497
61,NGN,460.529984
62,XAF,610.914509
63,KHR,4042.689911
64,PKR,281.818944
65,NPR,131.745204
66,LCU,
67,ETB,53.750233
68,AFN,88.118609
