,Airline,Category
0,ITA Airways,Major/National/Low Cost
1,Air Hamburg Luftverkehrsgesellschaft mbH,Fractional/Corporate
2,Kuwait Airways,Major/National/Low Cost
3,Hifly,Charter
4,DAS Private Jets GmbH,Fractional/Corporate
5,Air One,Cargo
6,Air Belgium,Charter
7,Air Atlanta Icelandic,Charter
8,Aerologic,Cargo
9,Condor,Charter
10,British Airways Mainline,Legacy
11,SAS Norge,Major/National/Low Cost
12,ASL Airlines (Ireland) [formerly Air Contractors],Cargo
13,Aerowest,Fractional/Corporate
14,CityJet,Regional
15,Cargo Air,Cargo
16,DHL Air UK,Cargo
17,LOT Polish Airlines,Major/National/Low Cost
18,Peach Aviation,Major/National/Low Cost
19,Eurowings GmbH,Major/National/Low Cost
20,DC Aviation,Fractional/Corporate
21,ASL Airlines Belgium,Cargo
22,Greater Bay Airlines,Major/National/Low Cost
23,Eurowings Europe Ltd,Major/National/Low Cost
24,Avion Express,Charter
25,Corendon Airlines,Major/National/Low Cost
26,Air Japan,Legacy
27,Austrian,Major/National/Low Cost
28,Heston Airlines,Charter
29,HOP,Regional
30,Aegean Airlines,Major/National/Low Cost
31,Virgin Atlantic Airways,Major/National/Low Cost
32,Loganair,Regional
33,KLM (Royal Dutch Airlines),Legacy
34,Private Wings Flugcharter GmbH,Charter
35,Volotea,Major/National/Low Cost
36,Global Jet,Fractional/Corporate
37,European Air Transport Leipzig GmbH,Cargo
38,Wizz Air UK,Major/National/Low Cost
39,Eurowings Discover,Major/National/Low Cost
40,Air Serbia,Major/National/Low Cost
41,Tassili Airlines,Charter
42,Air Nostrum,Major/National/Low Cost
43,Jet2.com,Major/National/Low Cost
44,Trade Air,Charter
45,Flexjet Europe,Fractional/Corporate
46,SundAir,Charter
47,Plus Ultra,Charter
48,Brussels Airlines,Major/National/Low Cost
49,Nicholas Air,Fractional/Corporate
50,Air Dolomiti,Regional
51,Excellent Air GmbH,Fractional/Corporate
52,Zimex Aviation,Regional
53,PADAVIATION,Fractional/Corporate
54,Air Austral,Legacy
55,Buzz,Charter
56,Jet Time,Charter
57,Lufthansa CityLine,Regional
58,Luxair,Regional
59,Swiss International Air Lines,Legacy
60,Atlantic Airways,Regional
61,Exxaero,Fractional/Corporate
62,BA Euroflyer,Major/National/Low Cost
63,Panaviatic AS,Fractional/Corporate
64,TUI fly (TUI Airlines Netherlands),Charter
65,Flybe (PAS Contract),Regional
66,Flybe (Q400) (Closed),Major/National/Low Cost
67,Vueling,Major/National/Low Cost
68,CMA CGM Air Cargo,Cargo
69,ECAir,Major/National/Low Cost
70,easyJet (UK Contract),Major/National/Low Cost
71,Trans Maldivian Airways,Regional
72,TUI Airways,Charter
73,Sprintair,Cargo
74,SmartLynx Airlines,Major/National/Low Cost
75,Air Senegal,Major/National/Low Cost
76,Iberia L.A.E,Major/National/Low Cost
77,EuroAtlantic Airways,Charter
78,Blue Islands,Regional
79,Air Baltic,Major/National/Low Cost
80,Platoon Aviation GmbH,Fractional/Corporate
81,Platoon Aviation GmbH,Fractional/Corporate
82,Chair Airlines,Major/National/Low Cost
83,European Cargo,Cargo
84,German Airways,Charter
85,French Bee,Major/National/Low Cost
86,Air Macau,Regional
87,Bamboo Airways,Major/National/Low Cost
88,DHL Bahrain,Cargo
89,Lufthansa Cargo,Cargo
90, e-aviation,Fractional/Corporate
91,DAT LT,Major/National/Low Cost
92,Challenge Airlines (BE),Cargo
93,CargoLogicAir (Closed),Cargo
94, Ryanair,Major/National/Low Cost
95,Cargolux,Cargo
96,FLY7,Fractional/Corporate
97,Silver Cloud Air,Fractional/Corporate
98,SunExpress,Major/National/Low Cost
99,Air France,Legacy
100,Malta Air,Major/National/Low Cost
101,DHL Air (Austria) GmbH,Cargo
102,Portugalia Airlines,Regional
103,Portugalia Airlines,Regional
104,Businesswings,Cargo
105,Helvetic Airways,Major/National/Low Cost
106,Level France,Major/National/Low Cost
107,Sky Express,Regional
108,VipJets (Closed),Fractional/Corporate
109,Wizz Air,Major/National/Low Cost
110,RVL Group,Charter
111,Aircalin,Major/National/Low Cost
112,easyJet (Italian Contract),Major/National/Low Cost
113,easyJet (Italian Contract),Major/National/Low Cost
114,Test,Major/National/Low Cost
115,FAI rent-a-jet,Fractional/Corporate
116,Nippon Cargo (NCA),Cargo
117,ETF Airways,Charter
118,Air Arabia Maroc,Major/National/Low Cost
119,Titan Airways,Charter
120,Aurigny Air Services,Regional
121,Air Astana,Major/National/Low Cost
122,TWINJET,Regional
123,Carpatair,Charter
124,Air CaraÃ¯bes Atlantique,Major/National/Low Cost
125,Tui fly Belgium (former Jetairfly),Charter
126,Emirates,Legacy
127,Easyjet (Netherlands),Major/National/Low Cost
128,Arcus Air,Fractional/Corporate
129,Wideroe,
130,Aero Trans Cargo,Cargo
131,Luxembourg Air Rescue,Regional
132,Alaska Airlines,Major/National/Low Cost
133,Air Cote Divoire,Major/National/Low Cost
134,Sun Air Of Scandinavia,Regional
135,Aer Lingus (UK Contract),Major/National/Low Cost
136,Aer Lingus (UK Contract),Major/National/Low Cost
137,Belair Airlines (Closed),Major/National/Low Cost
138,Jet Aviation,Fractional/Corporate
139,Edelweiss Air,Major/National/Low Cost
140,Pegasus Airlines,Major/National/Low Cost
141,Enter Air,Charter
142,Avion Express Malta,Charter
143,Air Albania,Major/National/Low Cost
144,SmartLynx Malta,Charter
145,ACT AIRLINES,Cargo
146,Animawings,Charter
147,Wizzair (UK Contract),Major/National/Low Cost
148,Eurowings Europe GmbH (NOT Eurowings GmbH),Major/National/Low Cost
149,Albinati Aeronautics,Fractional/Corporate
150,Finnair,Legacy
151,Lauda Europe (STN base),Major/National/Low Cost
152,Transavia,Major/National/Low Cost
153,Bluebird Cargo,Cargo
154,Avanti Air,Charter
155,Lufthansa German Airlines,Legacy
156,Regourd Aviation,Fractional/Corporate
157,Swiftair,Charter
158,Qatar Executive,Fractional/Corporate
159,Qatar Airways,Legacy
160,Lauda Europe,Major/National/Low Cost
161,GetJet Airlines,Charter
162,Swiss Flight Services SA,Charter
163,Netjets Europe,Fractional/Corporate
164,Ryanair,Major/National/Low Cost
165,Aer Lingus (ROI Contract),Legacy
166,Sunclass Airlines,Charter
167,Star Air (Part of Maersk Group),Cargo
168,Blom Norway,Fractional/Corporate
169,Air Arabia,Regional
170,Turkish Airlines,Legacy
171,Luxaviation Germany,Fractional/Corporate
172,IXAIR,Fractional/Corporate
173,DAT (Danish Air Transport),Regional
174,Spirit Airlines,Major/National/Low Cost
175,Skybus,Regional
176,S,Regional
177,Emerald Airlines,Regional
178,Hyperion Aviation,Fractional/Corporate
179,2 Excel Aviation,Regional
180,Easyjet (German Contract),Major/National/Low Cost
181,Norwegian,Major/National/Low Cost
182,Skyborne Airline Academy,Regional
183,DHL Air Austria,Cargo
184,Wizz Air Abu Dhabi,Major/National/Low Cost
185,Wizz Air Abu Dhabi,Major/National/Low Cost
186,Wamos Air,Charter
187,Icelandair,Major/National/Low Cost
188,Valljet,Fractional/Corporate
189,ABS Jets,Fractional/Corporate
190,flydubai,Major/National/Low Cost
191,Citilink Indonesia,Major/National/Low Cost
192,Nomad Aviation,Fractional/Corporate
