,Airline,Country,ISO
0,ITA Airways,Italy,Italy
1,Air Hamburg Luftverkehrsgesellschaft mbH,Germany,Germany
2,Kuwait Airways,Kuwait,Kuwait
3,Hifly,Portugal,Portugal
4,DAS Private Jets GmbH,Germany,Germany
5,Air One,United Kingdom,United Kingdom
6,Air Belgium,Belgium,Belgium
7,Air Atlanta Icelandic,Iceland,Iceland
8,Aerologic,Germany,Germany
9,Condor,Germany,Germany
10,British Airways Mainline,United Kingdom,United Kingdom
11,SAS Norge,Norway,Norway
12,ASL Airlines ,Ireland,Ireland
13,Aerowest,Germany,Germany
14,CityJet,Ireland,Ireland
15,Cargo Air,Bulgaria,Bulgaria
16,DHL Air UK,United Kingdom,United Kingdom
17,LOT Polish Airlines,Poland,Poland
18,Peach Aviation,Japan,Japan
19,Eurowings GmbH,Germany,Germany
20,DC Aviation,Germany,Germany
21,ASL Airlines Belgium,Belgium,Belgium
22,Greater Bay Airlines,Kong,Hong Kong
23,Eurowings Europe Ltd,Malta,Malta
24,Avion Express,Lithuania,Lithuania
25,Corendon Airlines,Turkey,Turkey
26,Air Japan,Japan,Japan
27,Austrian,Austria,Austria
28,Heston Airlines,Lithuania,Lithuania
29,HOP,France,France
30,Aegean Airlines,Greece,Greece
31,Virgin Atlantic Airways,United Kingdom,United Kingdom
32,Loganair,United Kingdom,United Kingdom
33,KLM ,Netherlands,Netherlands
34,Private Wings Flugcharter GmbH,Germany,Germany
35,Volotea,Spain,Spain
36,Global Jet,Switzerland,Switzerland
37,European Air Transport Leipzig GmbH,Germany,Germany
38,Wizz Air UK,United Kingdom,United Kingdom
39,Eurowings Discover,Germany,Germany
40,Air Serbia,Serbia,Serbia
41,Tassili Airlines,Algeria,Algeria
42,Air Nostrum,Spain,Spain
43,Jet2.com,United Kingdom,United Kingdom
44,Trade Air,Croatia,Croatia
45,Flexjet Europe,Malta,Malta
46,SundAir,Germany,Germany
47,Plus Ultra,Spain,Spain
48,Brussels Airlines,Belgium,Belgium
49,Nicholas Air,USA,United States
50,Air Dolomiti,Italy,Italy
51,Excellent Air GmbH,Germany,Germany
52,Zimex Aviation,Switzerland,Switzerland
53,PADAVIATION,Germany,Germany
54,Air Austral,Reunion,Réunion
55,Buzz,Poland,Poland
56,Jet Time,Denmark,Denmark
57,Lufthansa CityLine,Germany,Germany
58,Luxair,Luxembourg,Luxembourg
59,Swiss International Air Lines,Switzerland,Switzerland
60,Atlantic Airways,isl,Iceland
61,Exxaero,Netherlands,Netherlands
62,BA Euroflyer,United Kingdom,United Kingdom
63,Panaviatic AS,Estonia,Estonia
64,TUI fly ,Netherlands,Netherlands
65,Flybe ,Sweden,Sweden
66,Flybe ,United Kingdom,United Kingdom
67,Vueling,Spain,Spain
68,CMA CGM Air Cargo,France,France
69,ECAir,Congo,Congo
70,easyJet ,United Kingdom,United Kingdom
71,Trans Maldivian Airways,Maldives,Maldives
72,TUI Airways,United Kingdom,United Kingdom
73,Sprintair,Poland,Poland
74,SmartLynx Airlines,Latvia,Latvia
75,Air Senegal,Senegal,Senegal
76,Iberia L.A.E,Spain,Spain
77,EuroAtlantic Airways,Portugal,Portugal
78,Blue Islands,isl,Iceland
79,Air Baltic,Latvia,Latvia
80,Platoon Aviation GmbH,Germany,Germany
81,Platoon Aviation GmbH,Germany,Germany
82,Chair Airlines,Switzerland,Switzerland
83,European Cargo,United Kingdom,United Kingdom
84,German Airways,Germany,Germany
85,French Bee,France,France
86,Air Macau,China,China
87,Bamboo Airways,Vietnam,Viet Nam
88,DHL Bahrain,Emirates,United Arab Emirates
89,Lufthansa Cargo,Germany,Germany
90,Eisele Flugdienst / e-aviation,Germany,Germany
91,DAT LT,Lithuania,Lithuania
92,Challenge Airlines ,Belgium,Belgium
93,CargoLogicAir ,United Kingdom,United Kingdom
94,Malta Air France / Ryanair,France,France
95,Cargolux,Luxembourg,Luxembourg
96,FLY7,Switzerland,Switzerland
97,Silver Cloud Air,Germany,Germany
98,SunExpress,Turkey,Turkey
99,Air France,France,France
100,Malta Air,Malta,Malta
101,DHL Air ,Austria,Austria
102,Portugalia Airlines,Portugal,Portugal
103,Portugalia Airlines,Portugal,Portugal
104,Businesswings,Germany,Germany
105,Helvetic Airways,Switzerland,Switzerland
106,Level France,France,France
107,Sky Express,Greece,Greece
108,VipJets ,Austria,Austria
109,Wizz Air,Hungary,Hungary
110,RVL Group,United Kingdom,United Kingdom
111,Aircalin,Caledonia,New Caledonia
112,easyJet ,Italy,Italy
113,easyJet ,Italy,Italy
114,Test,Algeria,Algeria
115,FAI rent-a-jet,Germany,Germany
116,Nippon Cargo ,Japan,Japan
117,ETF Airways,Croatia,Croatia
118,Air Arabia Maroc,Morocco,Morocco
119,Titan Airways,United Kingdom,United Kingdom
120,Aurigny Air Services,United Kingdom,United Kingdom
121,Air Astana,Kazakhstan,Kazakhstan
122,TWINJET,France,France
123,Carpatair,Romania,Romania
124,Air CaraÃ¯bes Atlantique,France,France
125,Tui fly Belgium ,Belgium,Belgium
126,Emirates,Emirates,United Arab Emirates
127,Easyjet ,Netherlands,Netherlands
128,Arcus Air,Germany,Germany
129,Wideroe's Flyveselskap AS,Norway,Norway
130,Aero Trans Cargo,Moldova,"Moldova, Republic of"
131,Luxembourg Air Rescue,Luxembourg,Luxembourg
132,Alaska Airlines,USA,United States
133,Air Cote Divoire,Coast,"Tanzania, United Republic of"
134,Sun Air Of Scandinavia,Denmark,Denmark
135,Aer Lingus ,United Kingdom,United Kingdom
136,Aer Lingus ,United Kingdom,United Kingdom
137,Belair Airlines ,Switzerland,Switzerland
138,Jet Aviation,Switzerland,Switzerland
139,Edelweiss Air,Switzerland,Switzerland
140,Pegasus Airlines,Turkey,Turkey
141,Enter Air,Poland,Poland
142,Avion Express Malta,Malta,Malta
143,Air Albania,Albania,Albania
144,SmartLynx Malta,Malta,Malta
145,ACT AIRLINES,Turkey,Turkey
146,Animawings,Romania,Romania
147,Wizzair ,United Kingdom,United Kingdom
148,Eurowings Europe GmbH ,Austria,Austria
149,Albinati Aeronautics,Switzerland,Switzerland
150,Finnair,Finland,Finland
